,NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract
47,Census Tract 28; Franklin County; Ohio,1070,91,222,62,23,0,51,55,35,70,21,116,149,122,32,21,0,39,049,002800
48,Census Tract 29; Franklin County; Ohio,1116,169,197,92,125,58,60,91,42,21,154,52,19,20,10,6,0,39,049,002900
49,Census Tract 30; Franklin County; Ohio,2115,142,256,79,93,0,13,11,79,46,123,234,312,121,164,157,285,39,049,003000
50,Census Tract 32; Franklin County; Ohio,1772,52,20,35,0,0,53,95,24,32,138,244,263,268,216,191,141,39,049,003200
51,Census Tract 36; Franklin County; Ohio,1085,69,193,102,19,48,4,16,30,84,94,25,103,52,54,112,80,39,049,003600
52,Census Tract 37; Franklin County; Ohio,1473,107,83,121,27,54,52,52,55,14,47,92,213,119,110,156,171,39,049,003700
53,Census Tract 38; Franklin County; Ohio,1243,27,71,41,85,73,8,48,91,16,63,147,135,85,15,145,193,39,049,003800
54,Census Tract 40.01; Franklin County; Ohio,1009,97,108,8,143,65,133,16,114,22,99,53,42,39,9,16,45,39,049,004001
55,Census Tract 40.02; Franklin County; Ohio,2045,124,269,96,27,71,12,0,0,132,95,218,370,102,50,322,157,39,049,004002
56,Census Tract 42; Franklin County; Ohio,413,70,21,62,16,10,8,0,0,19,15,29,76,9,30,32,16,39,049,004200
57,Census Tract 43.01; Franklin County; Ohio,1777,50,45,0,73,11,22,52,57,85,111,167,416,168,191,122,207,39,049,004301
58,Census Tract 43.02; Franklin County; Ohio,596,45,68,22,99,68,62,30,0,16,6,23,44,44,50,12,7,39,049,004302
59,Census Tract 45; Franklin County; Ohio,2096,162,252,103,111,64,114,85,105,83,263,286,122,144,51,118,33,39,049,004500
60,Census Tract 46.10; Franklin County; Ohio,1751,40,227,76,83,24,47,35,22,49,69,125,236,239,273,152,54,39,049,004610
61,Census Tract 46.20; Franklin County; Ohio,857,94,57,39,70,43,12,55,53,7,68,65,176,38,19,61,0,39,049,004620
62,Census Tract 47; Franklin County; Ohio,1788,230,55,132,104,125,101,65,69,134,65,207,247,94,90,44,26,39,049,004700
63,Census Tract 48.10; Franklin County; Ohio,1268,45,34,12,35,126,23,61,127,75,86,157,113,142,48,27,157,39,049,004810
64,Census Tract 48.20; Franklin County; Ohio,959,6,95,70,14,117,75,18,99,45,40,178,114,83,5,0,0,39,049,004820
65,Census Tract 49; Franklin County; Ohio,1987,403,86,98,136,39,211,14,88,133,185,196,153,170,27,0,48,39,049,004900
66,Census Tract 50.01; Franklin County; Ohio,599,44,82,16,16,14,24,128,0,11,111,21,42,27,24,39,0,39,049,005001
67,Census Tract 50.02; Franklin County; Ohio,1506,119,463,136,77,78,85,0,37,0,122,170,38,0,58,53,70,39,049,005002
68,Census Tract 51; Franklin County; Ohio,792,187,186,64,72,4,59,51,8,0,1,43,83,4,0,16,14,39,049,005100
69,Census Tract 52; Franklin County; Ohio,1982,71,15,15,7,27,24,101,26,19,193,92,364,181,212,220,415,39,049,005200
70,Census Tract 53; Franklin County; Ohio,1144,130,40,51,19,59,59,45,83,108,122,121,104,24,31,112,36,39,049,005300
71,Census Tract 54.10; Franklin County; Ohio,664,31,84,52,42,145,16,28,27,45,83,42,18,22,6,16,7,39,049,005410
