category,polygon,name
supermarket,"POLYGON ((-9237667.093835065 4857886.282397096, -9237666.425918119 4857899.887591141, -9237646.121242998 4857898.90023385, -9237646.789159942 4857885.295041157, -9237649.861577889 4857885.4402405545, -9237667.093835065 4857886.282397096))",Food for All People
convenience,"POLYGON ((-9237675.899206785 4857793.195491403, -9237675.743359499 4857795.896175492, -9237678.27031194 4857796.041373582, -9237677.869561773 4857802.560770012, -9237675.342609333 4857802.401052008, -9237674.908463318 4857809.631924208, -9237662.396152554 4857808.876893131, -9237662.774638822 4857802.589809651, -9237663.38689602 4857792.440461574, -9237675.899206785 4857793.195491403))",Marathon
convenience,"POLYGON ((-9237560.282783648 4858211.069747012, -9237558.791102473 4858234.926818737, -9237537.117197614 4858233.57641692, -9237537.740586763 4858223.4266285, -9237540.757344963 4858223.615394142, -9237541.603373094 4858209.908113821, -9237560.282783648 4858211.069747012))",Mobil Mart
convenience,"POLYGON ((-9237565.648383105 4858097.985392833, -9237564.368208962 4858121.667949549, -9237563.132562611 4858121.609868409, -9237562.876527784 4858126.2127998145, -9237543.017130626 4858125.138298287, -9237543.273165455 4858120.520847095, -9237537.584739476 4858120.215921149, -9237538.87604557 4858096.533367896, -9237565.648383105 4858097.985392833))",Parson's One Stop Drive-Thru
convenience,"POLYGON ((-9237690.8494144 4857251.505376592, -9237715.128195342 4857252.928239994, -9237714.204243567 4857268.492636646, -9237689.925462626 4857267.055251978, -9237690.014518218 4857265.254891678, -9237690.8494144 4857251.505376592))",Bushman's Food Market
